DEPUTADO/A;PARTIDO;UF;MANDATOS;VOTAÇÃO 2018;IDADE;SITUAÇÃO;PROFISSÃO;Igreja
AGUINALDO RIBEIRO;PP;PB;2º;120.220;49;Reeleito;Empresário;Batista
ALAN RICK;DEM;AC;2º;22.263;42;Reeleito;PASTOR;Assembleia de Deus
ALEX SANTANA;PDT;BA;1º;62.922;46;Novo;PASTOR;Assembleia de Deus
ALEXANDRE SERFIOTIS;PSD;RJ;2º;37.526;43;Reeleito;Médico;Fazei Discipulos
ALINE GURGEL;PRB;AP;1º;16.519;38;Nova;Advogada;Iurd
ALTINEU CÔRTES;PR;RJ;2º;55.367;50;Reeleito;Produtor Agropecuário;Assembleia de Deus
André Abdon;PP;AP;2º;12.856;48;Reeleito;Político e Engenheiro;Assembleia de Deus
ANDRÉ FERREIRA;PSC;PE;1º;175.834;46;Novo;Bacharel em Turismo;Assembleia de Deus
AROLDO MARTINS;PRB;PR;1º;52.572;57;Novo;BISPO;Iurd
AUREO;SD;RJ;3º;68.414;39;Reeleito;Empresário;Metodista
BENEDITA DA SILVA;PT;RJ;5º;44.804;76;Reeleita;Assistente Social;Assembleia de Deus
OSSESIO SILVA;PRB;PE;1º;65.939;64;Novo;BISPO;Iurd
BRUNA FURLAN;PSDB;SP;3º;126.847;35;Reeleita;Bacharel em Direito e Empresária;Assembleia de Deus
CARLOS GOMES;PRB;RS;2º;103.373;46;Reeleito;PASTOR;Iurd
CEZINHA DE MADUREIRA;PSD;SP;1º;119.024;45;Novo;PASTOR;Assembleia de Deus
CHRIS TONIETTO;PSL;RJ;1º;38.525;27;Nova;Advogada;Congregação Cristã no Brasil
CHRISTIANE DE SOUZA YARED;PR;PR;2º;107.636;58;Reeleita;PASTOR;Evangelho Eterno
CLEBER VERDE;PRB;MA;4º;101.806;46;Reeleito;Servidor Público e Bacharel em Direito;Congregação Cristã
DANIELA DO WAGUINHO;MDB;RJ;1º;136.286;42;Nova;Professora;Nova Vida
DAVID SOARES;DEM;SP;1º;99.865;45;Novo;Advogado;Igreja Internacional da Graça de Deus
DR. JAZIEL;PR;CE;1º;65.300;57;Novo;Médico;Assembleia de Deus
MARINA SANTOS;PTC;PI;1º;70.828;38;Nova;Médica;Presbiteriana
Soraya Manato;PSL;ES;1º;57.741;57;Nova;Médica;Maranata
EDUARDO BOLSONARO;PSL;SP;2º;1.843.735;34;Reeleito;Escrivão da Polícia Federal;Batista
ELI BORGES;SD;TO;1º;48.812;58;Novo;PASTOR;Assembleia de Deus
FAUSTO PINATO;PP;SP;2º;118.684;41;Reeleito;Advogado;Iurd
FELIPE FRANCISCHINI;PSL;PR;1º;241.537;27;Novo;Advogado;Assembleia de Deus
FLORDELIS;PSD;RJ;1º;196.959;57;Nova;PASTORA;Assembleia de Deus
GEOVANIA DE SÁ;PSDB;SC;2º;101.937;46;Reeleita;Administradora;Assembleia de Deus
GILBERTO ABRAMO;PRB;MG;1º;162.092;52;Novo;BISPO;Iurd
GILBERTO NASCIMENTO;PSC;SP;3º;91.797;62;Reeleito;Advogado, Delegado de Polícia e Graduado em Teologia;Assembleia de Deus
GLAUSTIN DA FOKUS;PSC;GO;1º;100.437;45;Novo;PASTOR;Assembleia de Deus
HEITOR FREIRE;PSL;CE;1º;97.201;37;Novo;Administrador e Empresário;Evangelho Pleno
JEFFERSON CAMPOS;PSB;SP;5º;99.974;54;Reeleito;PASTOR;Evangelho Quadrangular
JHC;PSB;AL;2º;178.645;31;Reeleito;Empresário;Igreja Internacional da Graça de Deus
JOÃO CAMPOS;PRB;GO;5º;106.014;56;Reeleito;Delegado da Polícia Civil;Assembleia de Deus
Johnathan de Jesus;PRB;RR;2º;13.429;35;Reeleito;Empresário;Iurd
JOICE HASSELMANN;PSL;SP;1º;1.078.666;40;Nova;Jornalista;Batista
JOSÉ MEDEIROS;Pode;MT;1º;82.528;48;Novo;Policial Rodoviário Federal;Presbiteriana
JULIO CESAR RIBEIRO;PRB;DF;1º;79.775;43;Novo;PASTOR;Iurd
LAERCIO OLIVEIRA;PP;SE;4º;68.014;59;Reeleito;Empresário e Administrador de Empresas;Presbiteriana
LAURIETE;PR;ES;2º;51.983;48;Nova;Empresária e Música;Assembleia de Deus
LÉO MOTTA;PSL;MG;1º;51.073;45;Novo;Cantor Gospel;Assembleia de Deus
LINCOLN PORTELA;PR;MG;6º;105.731;65;Reeleito;PASTOR;Batista Nacional
LIZIANE BAYER;PSB;RS;1º;52.977;37;Nova;PASTOR;Igreja Internacional da Graça de Deus
LUCAS GONZALEZ;Novo;MG;1º;64.022;30;Novo;Empresário e Advogado;Batista
LUCAS REDECKER;PSDB;RS;1º;114.346;36;Novo;Político;Luterana
LUCIO MOSQUINI;MDB;RO;2º;38.630;49;Reeleito;Empresário e Engenheiro Eletricista;Batista Nacional
MARCEL VAN HATTEM;NOVO;RS;1º;349.855;33;Novo;Cientista Político e Jornalista;Luterana
Marcelo Álvaro Antônio;PSL;MG;2º;230.008;44;Reeleito;Empresário;Maranata
MÁRCIO MARINHO;PRB;BA;4º;95.204;48;Reeleito;BISPO;Iurd
MARCOS PEREIRA;PRB;SP;1º;139.165;46;Novo;BISPO;Iurd
MARGARETE COELHO;PP;PI;1º;76.338;57;Nova;Servidora Pública do Estado;Iurd
MARIA ROSAS;PRB;SP;1º;71.745;53;Nova;Administradora;Iurd
MILTON VIEIRA;PRB;SP;2º;77.413;56;Novo;PASTOR;Iurd
MOSES RODRIGUES;MDB;CE;2º;128.526;40;Reeleito;Empresário e Guarda Municipal;Adventista
